Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
52	48.21469	39.63909	158.93965	4.049914	185.26315	43.193497	11.631952	62.15233	-7.174862	63600	1.4901161e-08	1058.652	-0.0051630572	-34.750698	0.68348986	0.01975268	0.097500004	1766.3949661254883
53	32.657505	26.800404	150.91566	4.6032815	190.9762	33.903625	10.0412445	60.86295	3.9556143	64800	1.9868216e-08	424.2889	-0.005550377	-47.28178	0.5606257	0.010360406	0.1575	1801.021733045578
54	42.95055	23.502497	95.78012	4.6294427	187.92683	39.829433	9.712576	58.491184	-11.20815	66000	-2.4835268e-08	426.87216	-0.014249239	-36.365955	0.69588995	0.012416462	0.155	1835.16437625885
55	26.80586	19.964144	98.82645	6.6587343	182.58333	37.00194	12.264261	53.252884	-3.6464324	67200	-9.934108e-09	375.24243	-0.0089134015	-140.50177	0.7678537	0.0060548163	0.06916667	1868.6177730560303
56	55.906796	80.04615	511.34595	6.8120995	183.8421	26.045176	6.114239	37.128162	-12.392036	68400	9.934108e-09	4903.401	-0.006837586	-22.044897	0.7629697	0.020393915	0.23666666	1902.4697289466858
57	37.617035	40.461864	258.0824	4.723699	187.04878	23.65985	8.144824	36.701126	-11.620126	69600	7.4505806e-08	1041.4893	-0.0037652692	-98.760895	0.67698175	0.010120748	0.057499994	1938.6789536476135
58	58.113464	52.14855	248.50926	5.0806103	186.15384	41.738728	5.5809016	54.828377	0.7914299	70800	2.4835268e-08	1948.2743	-0.0043216324	-111.33551	0.7794876	0.015365514	0.21	1973.4053242206573
59	48.773716	37.214626	159.5073	6.2277985	187.61363	51.902203	5.5919867	69.559395	20.07864	72000	3.973643e-08	960.12384	0.012011327	-40.307697	0.60516787	0.03485977	0.3516667	2010.4532997608185
60	29.38606	20.97637	101.59578	4.1564956	187.51282	43.099087	10.510294	64.819305	-8.577358	73200	-5.9604645e-08	498.15698	-0.009037946	-246.43365	0.6340145	0.027167467	0.17333333	2046.823314666748
61	32.70394	21.76571	128.72096	4.548735	191.38461	28.5869	7.23055	40.775883	-14.4150715	74400	2.483527e-09	307.81436	-0.011266313	-7.800253	0.7549932	0.036142822	0.115	2078.98628783226
62	49.316994	51.11723	265.65958	4.999387	191.28206	27.341433	7.525138	43.811676	-19.291752	75600	-5.9604645e-08	2009.3975	-0.009236353	-267.4963	0.77114725	0.016659668	0.10916666	2110.8463037014008
63	44.824024	78.076935	465.51895	5.6981554	188.275	39.964832	10.494677	60.662323	-10.270375	76800	-1.7384687e-08	4230.02	-0.0057994113	-72.776024	0.6840269	0.027678587	0.125	2145.870043039322
64	60.154404	57.150623	264.73758	7.484557	184.94444	52.899734	8.023581	76.52963	26.658197	78000	2.4835268e-08	2219.4744	-0.009282079	-42.199036	0.8137924	0.0070250058	0.09666667	2178.4862010478973
65	44.874092	30.070717	150.34612	6.503142	186.22223	54.12103	8.522721	75.24594	23.28916	79200	-2.7318796e-08	755.664	-0.006938027	-116.1179	0.8318565	0.012018878	0.054166663	2212.103182077408
66	81.14683	123.165	710.9272	7.8016624	184.42105	45.022213	6.9037995	68.881226	7.864431	80400	1.9868216e-08	12008.355	-0.011550605	-118.116646	0.9294095	0.014063329	0.13416666	2246.1899042129517
67	45.326374	46.342487	254.62384	3.8610525	189.80952	41.37665	12.042348	64.2224	-8.304372	81600	1.9868216e-08	1332.6699	-0.0061062234	-60.389378	0.6777756	0.0044326796	0.05	2283.170850753784
68	40.030807	60.12077	368.7271	10.285277	190.97778	40.9544	11.01817	67.696556	17.449106	82800	-5.7121117e-08	2443.444	-0.006156596	-113.78229	0.6930844	0.048802156	0.09333333	2321.305120229721
69	29.713465	19.477688	99.31832	7.379277	189.78261	26.06678	11.24046	56.41209	8.844295	84000	1.2417634e-07	251.91925	-0.0021204415	-47.83681	0.52687955	0.0034544608	0.025833333	2359.0891077518463
70	39.828182	27.037693	109.410965	6.411159	189.33333	29.175476	14.501236	58.00201	5.7631884	85200	-3.973643e-08	378.23618	-0.0036589678	-40.194294	0.49608055	0.0039235917	0.040833335	2397.0869674682617
71	56.29056	61.280003	337.3901	6.653664	186.51219	47.99231	10.436594	67.184074	19.33459	86400	-2.9802322e-08	3132.6882	-0.004503727	-67.50411	0.6152133	0.005292172	0.05583333	2435.267016649246
72	54.139816	41.468063	214.2128	5.9552193	188.2683	46.002697	11.502307	60.610786	7.464846	87600	-4.718701e-08	963.5799	-0.005208304	-35.384533	0.56780076	0.009249334	0.100833334	2469.843243122101
73	37.764275	24.058718	118.85372	6.7060494	186.0238	46.491802	10.741369	66.6471	14.298316	88800	3.973643e-08	521.8653	-0.008318032	-68.70124	0.61753887	0.013561844	0.18	2504.6348655223846
74	28.548464	18.328247	88.049385	10.212946	190.40425	32.272068	12.48812	59.982258	-5.289153	90000	-7.947286e-08	240.77461	-0.009580034	-40.10596	0.46356845	0.0041421154	0.05	2543.089772939682
75	41.161346	35.25611	171.02312	5.117034	185.0	24.981443	15.4037485	47.110825	-38.631092	91200	4.4703484e-08	737.1773	-0.0042096577	-130.02936	0.60130805	0.010369911	0.11916667	2581.7196006774902
76	56.66434	53.272396	308.81195	6.889383	186.53334	42.538525	9.711408	58.43804	3.603929	92400	0.0	2003.6592	-0.0056325994	-84.97012	0.6412111	0.0044692717	0.021666666	2619.1387708187103
77	54.176304	64.58191	321.6071	8.629887	183.28572	52.310776	8.610947	73.0156	29.28616	93600	-7.947286e-08	2731.6406	-0.0034681335	-86.79641	0.73704106	0.0024499518	0.016666666	2658.0071926116943
78	44.73288	35.76183	142.6467	4.888682	188.17392	47.48201	12.584591	66.27823	16.25009	94800	-8.940697e-08	797.31476	-0.0154034	-66.29609	0.6688357	0.024096282	0.285	2695.749179840088
79	35.266167	34.524227	195.40079	5.3852468	185.19444	41.221497	9.490819	58.10293	-8.204141	96000	-1.09275184e-07	896.09955	-0.016040005	-112.47787	1.1072813	0.029168407	0.20833333	2726.5913474559784
80	43.447025	57.03432	294.28152	-10.0	187.94595	25.259298	14.327987	43.607388	-55.808746	97200	-4.967054e-09	2761.6543	-0.012614903	-97.972176	1.0277138	0.01965554	0.21499999	2763.032700777054
81	29.89144	23.251009	90.62042	4.432683	184.65	29.022507	13.495137	46.15464	-57.250893	98400	1.4901161e-08	354.05405	-0.012722147	-41.64435	1.0584764	0.011236902	0.12666667	2799.980679512024
82	37.120182	41.576054	215.11874	7.6068788	186.64285	30.161404	10.526145	51.837925	3.0479949	99600	-7.4505806e-08	1274.4926	-0.014316306	-46.989803	0.8787944	0.031511042	0.18166667	2836.5722193717957
