Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
83	67.074036	85.03477	235.46959	8.194529	139.03226	31.973913	5.4752984	47.145515	8.993727	75600	-2.4835268e-08	4898.058	-0.00038273283	-355.5695	0.022067076	0.0075358558	0.0044444446	2361.8853034973145
84	46.026485	76.70959	234.89545	5.490637	137.84375	56.757336	12.307078	85.23753	7.5565996	76500	0.0	3826.0947	-0.001438933	-293.67627	0.05904938	0.005356508	0.02111111	2393.762277841568
85	39.178257	63.907192	230.57385	5.497741	138.6875	42.177605	9.119153	63.891552	6.218705	77400	0.0	2326.6638	-0.0011265799	-136.57687	0.023274446	0.0015496515	0.0066666664	2424.9583854675293
86	54.29235	81.42571	224.63882	5.4518332	138.58064	23.119772	7.062279	41.30618	2.962222	78300	-1.9868216e-08	5266.8657	-0.0023675207	-589.1934	0.060243487	0.008972578	0.023333333	2455.7167234420776
87	29.49889	54.203598	229.5374	5.499377	137.35484	43.003456	9.277109	69.82061	10.430244	79200	0.0	2336.6333	-0.00050167245	-39.799194	0.022129282	0.001960412	0.007777778	2486.723061323166
88	38.596527	68.09141	232.34856	5.507373	138.05882	39.708443	8.269669	60.278137	3.376659	80100	9.934108e-09	2623.531	-0.0005553166	-73.62467	0.043930154	0.001862015	0.010000001	2518.3849244117737
89	54.996616	82.13205	223.37257	5.487149	139.76666	22.991083	6.0622787	36.79433	4.1868954	81000	-1.6763806e-08	5188.971	-0.0015238567	-611.3975	0.049126197	0.0034784076	0.018888889	2545.66078042984
90	39.682182	76.13444	258.492	5.502476	137.67741	42.9367	9.0921755	64.6452	5.0030937	81900	1.9868216e-08	4078.013	-0.0018456107	-72.59911	0.071167685	0.004021204	0.015555556	2577.5698430538177
91	52.253918	70.01852	224.42035	8.245434	136.79411	38.9945	9.047126	60.163837	2.0747573	82800	0.0	2734.2927	-0.0035696204	-64.46812	0.11062033	0.008728519	0.035555556	2607.8687891960144
92	64.12622	85.60775	232.98787	5.5173464	138.35484	41.446224	12.424902	82.37365	3.975811	83700	1.2417634e-08	5265.2827	-0.0009502154	-308.0397	0.065718226	0.012408621	0.025555557	2638.6357538700104
93	39.3403	70.115845	225.45204	5.490808	137.25807	60.486103	14.235491	94.29428	5.017724	84600	1.4901161e-08	3929.4895	-0.0022719714	-540.4705	0.090614714	0.008556759	0.03	2669.8956990242004
94	45.619545	70.20139	229.39626	-10.0	135.83333	31.279663	10.31923	59.32547	-0.63924587	85500	-9.934108e-09	3167.014	-0.0024717462	-133.35706	0.13802639	0.010966804	0.041111108	2699.313194513321
95	41.61302	74.343796	226.7264	-10.0	136.15384	29.336699	15.898145	66.91441	-1.6221187	86400	-4.967054e-09	2932.2024	-0.0043557337	-199.36443	0.24903707	0.01971657	0.091111116	2728.1790590286255
96	41.861095	68.228676	229.61964	-10.0	133.18182	39.42988	14.799502	98.014084	-3.1803854	87300	1.2417634e-08	2187.9863	-0.0011643134	-97.682556	0.063006364	0.0071618687	0.016666668	2759.972818374634
97	54.627785	76.4747	226.61871	5.495094	137.80646	34.27606	18.759773	94.59065	-4.2340236	88200	-2.4835268e-08	3666.379	-0.0007770904	-209.36955	0.069910176	0.004914342	0.018888889	2789.674046278
98	32.695065	62.149895	222.621	5.5073647	138.12903	37.43173	21.750698	98.600105	-2.5872147	89100	1.2417634e-08	2398.632	-0.0018073568	-139.88588	0.053163853	0.005995168	0.02	2821.175392627716
99	46.24444	76.65359	228.30844	5.5096083	137.1875	29.5062	20.099451	94.24903	-2.6671941	90000	9.934108e-09	2938.6985	-0.0006980337	-194.96043	0.03491035	0.0006590404	0.0033333332	2851.652442216873
100	53.486626	77.508316	223.56398	5.392875	137.09091	45.052032	28.169064	145.53249	-2.9745574	90900	-9.934108e-09	3603.6804	-0.0023769876	-134.29204	0.059945088	0.02528142	0.023333333	2882.844162940979
101	33.140152	62.90935	224.72324	5.4962173	138.87097	41.777348	30.958977	152.0748	-2.0784419	91800	-1.2417634e-08	2250.9377	-0.0020022541	-124.146454	0.047412988	0.006786254	0.016666666	2913.2947347164154
102	40.99531	72.06825	232.47646	5.5081882	138.73334	34.890972	27.879467	123.39374	-1.9099638	92700	-1.4901161e-08	2346.6938	-0.0013287956	-65.391365	0.040622603	0.006271024	0.017777776	2941.7658433914185
103	47.33497	74.04613	229.96881	5.509522	137.14706	39.240444	32.552406	143.47218	-2.145141	93600	-9.934108e-09	2636.1125	-0.0011545494	-100.6644	0.030663049	0.006113212	0.01111111	2972.988522052765
104	33.502274	62.623756	228.63802	5.5176105	138.96666	35.379833	32.095387	143.99377	1.3630728	94500	-1.4901161e-08	1947.8999	-8.6621694e-05	-83.09115	0.029104456	0.00075188396	0.012222222	3002.038141965866
105	38.817406	68.20834	219.67601	5.4988894	138.32259	31.596752	31.348063	127.15903	0.40572968	95400	0.0	1741.5605	-4.5889057e-05	-146.93445	0.016840855	8.7554916e-05	0.0022222223	3033.142411708832
106	40.155396	72.00646	229.96718	5.492812	138.0	30.622149	36.96749	157.09943	-0.090674154	96300	2.483527e-09	2182.6982	-0.0011490217	-155.9701	0.049721155	0.0071437224	0.017777778	3061.659197330475
107	37.497143	69.43468	228.07506	5.5078154	137.42424	35.18283	40.65115	181.98543	1.9722425	97200	1.6763806e-08	1918.5802	-0.00016161427	-114.96595	0.03150255	0.0017716432	0.01111111	3094.254716396332
108	32.38051	60.435257	220.68452	5.506412	138.58064	27.447727	29.864182	117.51537	0.87102467	98100	3.7252903e-09	1611.2378	-9.674082e-05	-21.944841	0.017083464	0.0003622925	0.0044444446	3124.580393075943
109	53.08772	81.702614	231.52162	5.496646	137.71875	35.53453	35.601517	137.15932	0.8009491	99000	0.0	2734.1106	-0.0001827528	-70.41189	0.019735329	0.00016813436	0.0022222223	3154.801102399826
110	37.735916	71.021545	231.0525	5.501572	138.45161	33.826435	40.696606	168.46718	1.1132872	99900	-9.934108e-09	1629.3027	-0.0003860394	-7.1393027	0.042600695	0.0014089326	0.015555556	3184.771399974823
111	33.187096	62.034424	226.6624	5.1281557	138.375	38.37202	43.762875	179.82468	-0.20828418	100800	0.0	2097.3157	-0.00040443614	-175.46324	0.039963417	0.0023666814	0.012222223	3215.996449947357
112	45.385845	76.47137	227.66678	5.488204	139.03125	29.186502	32.608967	133.23302	1.7696817	101700	-8.692344e-09	2306.2231	-0.00086889043	-101.68325	0.038792048	0.0021362568	0.018888889	3247.1233513355255
113	37.4661	70.25197	224.90619	5.5035543	139.70967	21.440216	30.730003	144.35202	-0.22989531	102600	4.967054e-09	1834.8451	-0.0005335024	-195.90092	0.026641859	0.0034589476	0.014444445	3278.899393796921
114	34.40444	63.435863	227.69218	5.2026362	139.46666	38.079296	43.962776	187.9406	0.6322307	103500	-9.934108e-09	2095.0642	-0.00040192218	-242.70564	0.036485445	0.0010515993	0.008888888	3307.8929715156555
115	52.93808	83.013176	224.46553	5.5118656	138.09677	31.334301	31.529413	140.95523	1.8997296	104400	-2.9802322e-08	3090.0027	-0.002036913	-513.94025	0.055845246	0.0075378865	0.028888889	3340.4707198143005
116	30.616108	58.820972	222.04016	5.4949226	137.87878	28.696753	33.082527	143.8146	1.682269	105300	-1.4901161e-08	1651.7836	-0.00033708065	-72.44875	0.04583161	0.0021152068	0.010000001	3372.1795008182526
117	41.86854	71.47251	235.34756	5.158194	139.4	36.861713	38.86263	147.1402	2.2041435	106200	3.7252903e-09	2071.7668	-0.00064719375	-47.388836	0.053361636	0.004445258	0.01111111	3400.8066935539246
118	46.099445	78.655594	233.57147	5.4795756	138.09677	27.729933	30.984758	133.40358	2.4653487	107100	-3.7252903e-08	2431.818	-0.001365922	-190.55095	0.053652316	0.0043002553	0.023333333	3430.494669675827
119	25.299187	50.55703	222.85463	5.4935975	138.48387	24.063307	35.067387	160.88841	0.6972238	108000	-1.2417634e-08	1362.7501	-0.00012854797	-117.49027	0.028427267	0.0018177718	0.012222223	3460.103115797043
120	45.31262	74.29063	219.40648	5.4925003	138.09375	31.14318	32.068615	123.04272	2.8711588	108900	-2.4835268e-08	2430.303	-0.0004705689	-85.14161	0.036269397	0.0015201954	0.012222223	3490.459174156189
121	32.04487	63.92861	222.40688	5.5009494	139.06897	28.01833	34.658314	151.28267	1.4956324	109800	-9.934108e-09	1314.7894	-0.0006479702	-58.64386	0.06592318	0.004029703	0.020000001	3518.9575996398926
122	39.159813	71.09083	234.15057	5.5027437	137.27272	35.59685	45.21545	177.25183	1.0937669	110700	0.0	1941.1818	-0.0015855134	-204.67314	0.04333338	0.016671924	0.016666668	3549.4707453250885
123	54.06057	79.036804	230.12135	5.2284465	137.0625	45.18126	42.05004	159.37	3.691501	111600	-6.208817e-09	2829.9358	-0.003966694	-82.39608	0.17831226	0.04504761	0.054444447	3578.466722726822
124	40.272846	69.71008	224.951	5.506472	137.5	40.352463	38.585114	176.83833	4.617496	112500	0.0	1860.1163	-0.00034894608	-44.45902	0.051952887	0.0032731881	0.020000001	3609.4982421398163
125	38.526222	68.70899	226.4201	4.9935036	138.40625	29.285881	39.176613	153.80237	-1.1801054	113400	2.483527e-09	1883.7114	-0.0001507004	-52.9879	0.04158112	0.0007054773	0.008888889	3639.601795196533
126	48.703236	78.00366	230.46298	5.5073414	139.0	38.920815	39.285652	142.26079	3.295225	114300	2.483527e-09	2503.4343	-0.0010670652	-75.60839	0.06923722	0.007884736	0.034444448	3670.2203035354614
127	32.57593	64.022095	225.43506	5.5016065	139.03448	26.763933	35.49441	172.6709	1.7913662	115200	1.1175871e-08	1243.0094	-0.0006018517	-47.820877	0.08417124	0.0019731103	0.017777778	3698.866703271866
